tconst,primaryTitle,originalTitle,startYear,decade,runtimeMinutes,primaryGenre,genres,averageRating,numVotes,ratingCategory,popularityTier,hasDirector,directors,writers
tt0161860,Nowhere in Africa,Nirgendwo in Afrika,2001.0,2000.0,141,Biography,"Biography,Drama,History",7.5,14732,Good (7.0-7.9),Popular (10K-50K),True,nm0512862,"nm0512862,nm0959004"
tt0162030,Unseen Evil,Unseen Evil,2001.0,2000.0,93,Horror,"Horror,Sci-Fi,Thriller",3.4,401,Poor (<5.0),Niche (<1K),True,nm0937321,nm0817387
tt0162222,Cast Away,Cast Away,2000.0,2000.0,143,Adventure,"Adventure,Drama,Romance",7.8,685684,Good (7.0-7.9),Blockbuster (100K+ votes),True,nm0000709,nm0115310
tt0162346,Ghost World,Ghost World,2001.0,2000.0,111,Comedy,"Comedy,Drama",7.3,131853,Good (7.0-7.9),Blockbuster (100K+ votes),True,nm0959062,"nm0167280,nm0959062"
tt0162650,Shaft,Shaft,2000.0,2000.0,99,Action,"Action,Crime,Thriller",6.0,85044,Average (6.0-6.9),Major (50K-100K),True,nm0005436,"nm0862781,nm0005436,nm0004307,nm0697115"
tt0162711,Trixie,Trixie,2000.0,2000.0,116,Comedy,"Comedy,Crime,Mystery",4.9,1685,Poor (<5.0),Known (1K-10K),True,nm0748928,"nm0748928,nm0082788"
tt0162838,Three Days of Rain,Three Days of Rain,2002.0,2000.0,98,Drama,Drama,5.6,296,Below Average (5.0-5.9),Niche (<1K),True,nm0580618,nm0580618
tt0162901,Kasbah,Kasbah,2000.0,2000.0,99,Drama,"Drama,Thriller",5.7,180,Below Average (5.0-5.9),Niche (<1K),True,nm0057819,"nm0057819,nm0555909,nm0636541"
tt0162942,Children of the Green Dragon,A zöld sárkány gyermekei,2010.0,2010.0,89,Drama,Drama,6.9,154,Average (6.0-6.9),Niche (<1K),True,nm1207262,"nm1213474,nm1207262,nm2512244"
tt0162983,Hanging Up,Hanging Up,2000.0,2000.0,94,Comedy,"Comedy,Drama",4.9,13772,Poor (<5.0),Popular (10K-50K),True,nm0000473,"nm0258286,nm0001188"
tt0163025,Jurassic Park III,Jurassic Park III,2001.0,2000.0,92,Action,"Action,Adventure,Sci-Fi",6.0,368265,Average (6.0-6.9),Blockbuster (100K+ votes),True,nm0002653,"nm0000341,nm0118224,nm0668247,nm0852591"
tt0163080,The Magic Pudding,The Magic Pudding,2000.0,2000.0,80,Animation,"Animation,Family,Musical",5.7,576,Below Average (5.0-5.9),Niche (<1K),True,nm0959052,"nm0187912,nm0352756,nm0394319,nm0512284"
tt0163125,The Operator,The Operator,2000.0,2000.0,102,Comedy,"Comedy,Drama,Thriller",5.4,383,Below Average (5.0-5.9),Niche (<1K),True,nm0225225,nm0225225
tt0163141,Enchanted Interlude,La parenthèse enchantée,2000.0,2000.0,88,Comedy,"Comedy,Romance",5.9,371,Below Average (5.0-5.9),Niche (<1K),True,nm0818996,nm0818996
tt0163246,Skippy,Skippy,2001.0,2000.0,90,Comedy,"Comedy,Family,Romance",3.2,220,Poor (<5.0),Niche (<1K),True,nm0955131,nm0176616
tt0163566,The Stranger,The Stranger,2000.0,2000.0,95,Thriller,Thriller,4.6,119,Poor (<5.0),Niche (<1K),True,nm0458678,"nm0312031,nm0458678"
tt0163596,Dark Water,Dark Water,2001.0,2000.0,92,Crime,"Crime,Drama,Mystery",5.2,203,Below Average (5.0-5.9),Niche (<1K),True,nm0153581,"nm0365480,nm0153581"
tt0163676,The in Crowd,The In Crowd,2000.0,2000.0,105,Drama,"Drama,Mystery,Thriller",4.7,5048,Poor (<5.0),Known (1K-10K),True,nm0005116,"nm0317102,nm0357000"
